,question,answer
33,What are some preferred methods for converting PyTorch models to TensorRT for deployment using Nvidia Triton? Are there any issues with using TensorRT for dynamic batching?," Some preferred methods for converting PyTorch models to TensorRT for deployment using Nvidia Triton include compiling models using torchscript and using the PyTorch backend, and converting PyTorch models to ONNX and then to TensorRT. There can be issues with using TensorRT for dynamic batching, such as when trying to compile models that support dynamic batching."
34,How to resolve the issue of a pod remaining unschedulable despite adding tolerations?, Try installing the drivers as suggested in the Google Kubernetes Engine documentation.
35,What would be the checklist for taking over an ML project for maintenance or further enhance the model between two teams with similar skill sets?," A checklist for taking over an ML project for maintenance or further enhance the model between two teams with similar skill sets could include: meeting and decision minutes (mainly rationalities of the decisions), code and data lineage, howtos, reports and how they are created, automated tests, model code that has been reviewed and approved by at least one other developer, code that passed the ""can be understood without comments and doc-string"" test, existence of code review guidelines, model versioning and metadata tracking, and any items that could improve the reliability of the ML system."
36,"What is the best solution to manage multiple models in a system pipeline, and how to handle dynamic mapping of models when using RESTful containers?"," You can create a service that acts as a reverse proxy, which is responsible for starting the docker machines dynamically and generating the addresses. You can use an ingress to route the requests to different models, and update the ingress rules manually, automatically using pre start and post start hooks, or using a CRD. Kubeflow or a similar platform may also be useful, as their APIs largely solve the ""wiring"" problem."
37,Has anyone worked with AWS EKS for managing ML pipelines in combination with AWS SageMaker and CI/CD? ," Yes, U01T8RK505N has some experience on this front."
38,What is the preferred way to deploy multiclass classifiers?," It depends on how many classes there are, whether we care about all of them in prod, and whether “none of these” needs to be a viable response. Hierarchical Parent Node + Soft Voting is one approach."
39,Is the 'operations' tag in MLOps limiting? How do people typically define MLOps? ," The 'operations' tag in MLOps can be limiting, as it can imply a focus on ""keeping the lights on"" rather than innovation and experimentation. People typically define MLOps as a cross-functional process aiming to improve AI/ML products lifecycles and involving people with different backgrounds. It is also important to note that MLOps is related to provenance and is larger than DevOps."
40,Is it possible to install two versions of the same pip packages to the same python environment and choose which to load? What's the least hacky workaround?," It is possible to install two versions of the same pip packages to the same python environment and choose which to load, but it is a hacky workaround. One suggestion is to define optional dependencies on the package, update the model class to handle versioning logic, or use a notebook to pip install the relevant version before loading/evaluation. Another suggestion is to use setuptools-scm for git based versioning, and use git tags for specifying releases."
41,"What resources are available to help train an ML model more effectively, specifically an XGBoost model on historical data that is performing poorly? How can one avoid trial and error while retraining the model, and is there a way to understand what is causing the performance issues?"," A few resources that could be helpful include: a guide to better navigate XGBoost parameters and ranges (<https://www.analyticsvidhya.com/blog/2016/03/complete-guide-parameter-tuning-xgboost-with-codes-python/>); Google's Rules of ML (<https://developers.google.com/machine-learning/guides/rules-of-ml/>); a blog post on making ML work (<https://www.shreya-shankar.com/making-ml-work/>); and a tool for adding real-time personalization to ranking items (<https://machinelearningmastery.com/feature-importance-and-feature-selection-with-xgboost-in-python/>). Additionally, one should check their data processing for errors that could be destroying the structure of the data, as well as inspecting and exploring the dataset to check for other problems. SHAP values (<https://shap.readthedocs.io/en/latest/example_notebooks/tabular_examples/tree_based_models/Basic%20SHAP%20Interaction%20Value%20Example%20in%20X"
42,What are some recommended open source visualization tools for EDA?," Bokeh, d3.js, geoplotlib, perspective, altair, seaborn, pandas-profiling, Apache Superset, Metabase, and What-If Tool."
43,"As the only data scientist for an ecommerce startup, what can I do? Any suggestions?"," There's a ton you could do. I would start with the basics for internal needs. Things like all the data aggregated and make sure you understand it. Start generating simple descriptive analysis, ask the business people what will add value to them. Then identify with the business units what would add value in terms of predictive analysis like analyzing the behavior of creators that generate the most revenue, what are their characteristics, what do they do in the platform, etc. try to figure out how to retain and bring in more of those people and try to figure out how to prevent they leave. In principle more that trying to think what you can do by yourself I would reach out to the business units and try to understand what would make a difference to them and try to prioritize. Keep it simple at this point."
44,When should we use Prometheus Alertmanager instead of configuring alerts in Grafana when using Prometheus and Grafana together?," It is considered best practice to use Prometheus Alertmanager over Grafana's alert system, assuming you don't have any other sources of alert than Prometheus. This is because Grafana is not as good in deduplicating alerts, especially if you have it configured with high availability, and if the connection between Grafana and Prometheus fails, you suddenly have no alerts."
45,What is the best tool for env management of python in 2023?," It is difficult to say, but some popular tools include Poetry, Pyenv, Venv, Conda, Pip, Mamba, Fastchan, and Dynaconf."
46,"What are some strategies for incorporating more recent data into an ML model, retraining it, and validating that it has better performance than the existing model, without biased evaluation?"," Strategies include keeping track of exact samples included in the validation and training sets, using a time-dependent K-fold train/test strategy, and using A/B tests. Other strategies mentioned include splitting the data by time, using early stopping, and retraining on a regular interval."
47,Does anyone else have a platform for making sure data stays private and secure?," U015BH45ZK6: Ugh, we (Hypergolic) made the product plans for an MLOps tool for just this usecase for a major global player who wanted to enter the space. U017CCSNYDV: Once you give someone access it is very difficult to stop them transporting that data. You might consider combining firewall with DLP (<https://cloud.google.com/dlp/docs/concepts-infotypes>) to get towards what you need. I think synthetic is the way to go. DP is something to build in too (<https://github.com/IBM/differential-privacy-libra>)."
48,What are some methods and resources for building dynamic pricing models in short term rentals and how can demand be factored into these models?," U03NHMDHRQW mentioned using a markov decision process with a definite end state to create a dynamic pricing model in the short-term rental context. U03DR0BQR50 suggested random variation in prices to help with identifying price elasticity and modeling a demand curve. Additionally, U01N8ERHH9T and U02PUD51UGH mentioned multi-armed bandits and GBMs, respectively, as methods for dynamic pricing. U02PUD51UGH also recommended a KDD paper (https://arxiv.org/abs/2207.01137) and Alibaba/TMall papers as resources for more information."
49,How can I access the recorded version of the LLMs for the production conference held on the 13th of April 2023?, UP3T8K9M5 has mentioned that the recording will be coming soon.
50,"When building/evaluating a framework for ML experimentation, training pipelines, do we bake off kubeflow/mlflow/weights and biases or build our own software stack that just abstracts those implementations? Has anybody released to OSS their own code stack?"," We open sourced our stack at Netflix - it essentially abstracts the fundamental components of ML infra -data storage, compute, orchestration, experiment management etc. (<@U01BNPM89U1> which Netflix project was that? Metaflow? <https://github.com/Netflix/metaflow>)"
51,"What are some options for packaging models without separating them from their underlying runtime, and has anyone had experience with using ONNX?"," Options include packaging everything as a docker container and using ONNX or another serialization format. People have had experience with ONNX, but there have been some bumps along the way related to versions and expanding it to GNN library primitives."
52,"How do you deal with access given to Data Scientists and ML Engineers/SE in a model registry, specifically with regards to S3, and what are some proposed solutions?", One way would be to have a single registry where the DS will push the model to and MLEs can pull the model from. Another proposed solution is to host an MLflow tracking server in one account and use the mlflow python API to pull the models without S3 access. Access controls and authentication can be managed by the ML team by giving everyone admin rights or setting different levels of access.
53,What is a good experiment management tool for non-production purposes with the ability to scale GPU on demand and compare experiment results?," Kubeflow-based experiment tracking platforms may work well for this purpose, as well as cloud platforms that provide tuning services that rely on bayesian sampling to optimize model training. Additionally, tools such as Raytune and NNI may be good options."
54,What are the downsides of models in container images and what alternatives are there?," The downside of models in container images is that you have to build an image `n` times for a release x `m_n` models per client, which can become a bit annoying to manage. An alternative is to use object storage (minio for on-prem) and push the models there (mirroring a bucket from internal object storage)."
55,What are the best practices for multi-tenant MLOps flow in Databricks? How can multi-tenant models be trained in Databricks?," It depends on your use case and data isolation requirements. There are various options for orchestrating the jobs, such as using multi-task jobs and the Databricks API, or using an external linked service such as Azure Data Factory or AWS Step Function plus Lambda. You can also consider using a tool/product that helps you isolate each tenant with a notion of projects, which isolates entities and manages access rights. Additionally, you can use AutoML solutions to account for variation in features across tenants."
56,What is the experience with using synthetic data in a production-ready machine learning workflow and how to deal with errors in the data?," U015BH45ZK6 mentioned that they heavily used synthetic data for their NER/NEL system, which included heuristics, partially labelled data, and majority voting by other lower quality NER systems. To deal with errors in the data, U015BH45ZK6 suggested that the first step is to start converging offline data towards what is in prod, and measure differences and figure out why that happens and if it significantly influences model performance. Additionally, U016624NW3U suggested that the only data that should be used for data projects is production data, and U01JFBUKMCG suggested testing in prod by doing a canary release or shadow traffic to new models."
57,Is ML part of the apps and tools we buy or do companies also try to do ML in-house?, Both. Companies will try to do ML in-house and also use tools that leverage ML.
58,How do you operationalize training a model back and forth between notebooks and an automated pipeline?," There is no one-size fits all pattern for operationalizing training a model back and forth between notebooks and an automated pipeline. Some guidelines include maintaining code and requirements.txt in GitHub, externalizing the configuration, building a Docker image and pipelines, doing a dry run of the end to end pipeline, and deploying the pipeline to production with alerts and monitoring."
59,What meeting framework or outline would be recommended for early discussions on developing better MLOps practices? ," A suggested framework for early discussions on developing better MLOps practices could include focusing on the problems that need to be solved, the effort and value of the solutions, and deciding as a group on the MLOps maturity model. It could also include getting buy-in from the team, using the SCAR framework, and providing an introduction to MLOps, best practices, and how it differs from DevOps."
60,How are other people handling the 'batch in disguise' problem which involves requests coming in for individual keys/inputs with a third-party marketing system that is largely outside of one's control?," Monzo has an in-house experiment system with assignment of variants, web UIs to start and pause experiments, and Looker templates for metrics and significance calculations. There is no magic solution, but building strong relationships with leaders in the company is important. Additionally, it helps to look for problems that can be solved with classification or regression and look at the key metrics related to those problems."
61,What are the things to be learnt in MLops for someone new to it?," Things to be learnt in MLops for someone new to it include how to write YAML files, model deployment, various technologies related to MLops, Data Engineering knowledge, and MLOps principles and best practices."
62,How does one deal with refactoring and maintainability in data science when it's more dynamic and iterative than software development?," It depends on the company/product and scale, but often it does not require huge refactoring and maintainability efforts. However, there may be a need for bigger refactoring efforts when it comes to the initial exploration phase of a data science problem. It is also important to consider the balance between experimenting and operationalizing, and to avoid the ""Gold plating effect"", while calculating ROI and managing dependencies."
63,"What tools can be recommended for a team to unify research and MLOps development teams, for quick deployment and management of different ML models with versioning?"," MLFlow, Verta.ai, and Whylogs can be recommended for a team to unify research and MLOps development teams, for quick deployment and management of different ML models with versioning. Additionally, DVC can be used for large file tracking and versioning, and GitHub Projects can be used for project management."
64,How do I integrate MLflow in ZenML for experiment tracking?, There is a good blog by <@U029FHM5LPP> from ZenML on this <https://dev.to/zenml/how-to-improve-your-experimentation-workflows-with-mlflow-tracking-and-zenml-2dhe> and we wrote about it recently as well: <https://www.fuzzylabs.ai/blog-post/the-road-to-zen-running-experiments>.
65,Is it possible to have multiple containers share a single GPU with AWS ECS Agent updates?," No, it is not possible to have multiple containers share a single GPU with AWS ECS Agent updates."
66,What decision framework can be used to choose a specific ML tool from the countless options available?," I recommend having 2 phases:
• Phase 1: Create a short list of potential candidates (e.g. 2 to 5 items). This can be reviewed just by looking at the product features and online reviews (low time investment, but a lot of solutions).
• Phase 2: Evaluate each candidate during a PoC to assess their pros and cons (high time investment, but fewer solutions).
Before each phase, you should come up with a list of criteria to evaluate the solutions objectively. It's better if you can involve end users to confirm the criteria and weigh their importance."
67,"What are some good resources with examples, preferably with diagrams, that show how other companies have structured their data architecture and task orchestration ecosystems?"," U01HBEHNX16 suggested the GitHub repository <https://github.com/jacopotagliabue/you-dont-need-a-bigger-boat> and the book <https://www.amazon.com/Informed-Company-Cloud-Based-Explore-Understand/dp/1119748003>, U015BH45ZK6 suggested getting in touch if interested in a chat, U019ABXBYET suggested the blog post <https://monzo.com/blog/2022/04/26/monzos-machine-learning-stack>, and U01J0NVNE1G suggested the Google and Microsoft architecture examples."
68,Are RNNs and LSTMs still used for NLP tasks or has Transformers taken over? Are these models productionized and how much resources are required monetarily?," Transformers are the most popular for NLP tasks in research, but they are not always needed in industry and lots of production systems still rely on ARIMA or Prophet from Facebook. It really depends on factors like the ML team, the difficulty of deploying new models, and how important the ML models are to the company. The cost of fine-tuning a transformer depends on factors such as the architecture, training data, number of training epochs, and hardware available."
69,Is it possible to get two metrics from two runs into the same plot in Neptune?," No, it is not possible to get two metrics from two runs into the same plot in Neptune."
70,"What are the other options available to migrate from training on demand architecture, and can Celery be used to build task queues instead of handling requests on gRPC server threadpool? Also, what are the ways to handle GIL issues? ", Other options available to migrate from training on demand architecture include using a queue system or designing a tool that adds training data to the database layer and polling this layer instead of training whenever a request is received. Celery can be used to build task queues instead of handling requests on gRPC server threadpool. Possible ways to handle GIL issues include using a multi-process approach to handle multiple requests simultaneously or using an asynchronous programming model.
71,"What are the recommended experiment tracking libraries for a simple application with input parameters, and tie it to a resulting model, and is MLFlow the best option available?"," MLFlow is recommended for this application and is the most popular and familiar option for collaboration. The only cons are the additional management and lack of authentication/workspace if you want to scale the solution. Alternative solutions might include Sacred, W&B, Neptune, Comet, or ClearML."
72,What do people use for renting cloud GPUs?," People have used AWS, GCP, Paperspace, LambdaLabs, and GenesisCloud."
73,What is Vertex Feature Store and is it based on Feast?, Vertex Feature Store is a feature store from Google and it is not based on Feast.
74,"Is there a model registry that can accommodate models with a combination of weights, architecture, and code for pre- and post-processing? How can MLFLow artifacts be utilized with the MLFlow model registry?"," Yes, MLFlow can accommodate models with a combination of weights, architecture, and code for pre- and post-processing. MLFlow artifacts can be used with the MLFlow model registry by tracking the model metrics, plots, auto logging from mlflow, and code (the seldon folder) together and then registering that run as a model. All artifacts are stored on the model registry (the model registry is just a pointer to a experiment run)."
75,What is the best practice for running FastAPI services in k8s/ECS/etc and how should uvicorn workers and containers be configured for optimal performance?," According to good practices, there should be one container per “atomic” process and the number of uvicorn workers should be matched to the number of CPU processes available. However, you may get better performance by running fewer but larger containers instead of many small containers. Additionally, you should try removing the CPU limit when running your FastAPI services, but setting the CPU requests."
76,What framework did the guys from Mage use to build their UI and did they have a designer? ," They used React for the components, wrote in TypeScript, and used NextJS for the framework. They also had an in-house designer and invested time and money in the UI and UX."
77,How can we communicate about ML without complicated things?," We can use plain English to communicate about ML, and focus on the benefits it can bring to the business. We can use analogies or demonstrative exercises to explain the concept, and talk about specific top of mind goals and business KPI's to make it relevant to the business."
78,What are people's thoughts on AutoML and are there successful use cases? How can AutoML models be improved upon? Are there any limitations to using AutoML in regulated industries?," People generally agree that AutoML can be useful for quickly benchmarking models and setting up automated pipelines. It can be dangerous if people are using it without understanding the assumptions models are making. There are successful use cases, particularly for low impact prediction tasks where there are not enough ""real ML people"" to do it. To improve AutoML models, techniques such as better hyperparameters, data augmentation, and feature engineering can be used. There can be limitations to using AutoML in regulated industries due to liability and indemnification concerns."
79,What are some resources or guidance for improving MLOps knowledge and skills specifically for computer vision models?," Some resources and guidance for improving MLOps knowledge and skills specifically for computer vision models include:
• <https://github.com/DataTalksClub/mlops-zoomcamp>
• <https://github.com/visenger/awesome-mlops>
• <https://ml-ops.org/>
• <https://madewithml.com/>
• <https://cloud.google.com/architecture/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning>
• <https://developers.google.com/machine-learning/guides/rules-of-ml>
• <https://learn.microsoft.com/en-us/azure/architecture/example-scenario/mlops/mlops-technical-paper>
• The <#C01DEPTQ0F5|learning-resources> channel."
80,What is the best way to give a heads up to community to come and attend a Kubeflow event hosted by a company in New York City?," The best way to give a heads up to the community to come and attend a Kubeflow event hosted by a company in New York City is to post the event details and a link to the event registration on social media. Additionally, providing a list of speakers and a description of the event can help to generate interest."
81,What are some options for integrating a Python-trained ML model into a Matlab workflow for deployment on a rapid prototyping machine?," Options for integrating a Python-trained ML model into a Matlab workflow for deployment on a rapid prototyping machine include training the model in Python and then exporting the trained model into C code and importing that code into a Matlab S-Function, or doing the ML work in Matlab and doing most of the iterative work on Python and then the last bit of tuning/final training on Matlab."
82,"Are there many people in the MLOps community who work as independent contractors and/or work only four days a week, and is it possible to find work with a better work-life balance than corporate jobs in the field of MLOps?"," Yes, there are many people in the MLOps community who work as independent contractors and/or work only four days a week, and it is possible to find work with a better work-life balance than corporate jobs in the field of MLOps."
83,How can I get kfserving to work properly on a private cluster?," You may need to create an internal load balancer for the knative gateway to function properly. You may also need to create a firewall rule to allow ingress on port 6443 from the master IP range, as well as port 8443."
84,What are the experiences of using Ray/Anyscale and how seamless is the shift from research to productization? Has anyone used Ray in Computer Vision space?," People have used Ray for distributed computation, model serving, and batch predictions. Anyscale provides an application development platform for developers to build distributed applications and offers standardized platform for distributed computing. As for the shift from research to productization, users have found the abstractions to be great but noted that it requires the installation of the Ray infrastructure in the background. Regarding use in the computer vision space, one user noted that it was promising but not mature enough for prod use, and the other user was planning to revisit it as improvements have been made."
85,"What is the most effective way to do scalable real-time inference of custom models in AWS? Specifically, between using Lambda to call a model hosted on SageMaker or calling an ELB that routes to an autoscaling ECS service hosted on Fargate?"," It depends on the complexity of the model and the latency, hardware, and payload size requirements. Lambda can be used for smaller loads, but for larger loads, an ECS Service with an ELB in front may be a better option. For ultra-low latency requirements, SageMaker Real-Time Endpoints may be necessary."
86,Which feature store solutions offer feature versioning? Can AWS Sagemaker FS offer feature versioning? How does SMFS eliminate the need for Glue jobs?," Feature Form offers feature versioning with something called variants. AWS Sagemaker FS does not offer feature versioning, but it does save every historical version of each feature in the offline store, so you can do point-in-time dataset recreation. SMFS eliminates the need for Glue jobs by storing the offline store in S3 and automatically building a Glue data catalog for it."
87,"Is there a link provided for virtual workshops in the mlops world conference? If so, where can it be found?"," Yes, all info for virtual workshops can be found in the engineeringlabs channel and on the newsletter at https://go.mlops.community/newsletter."
